ilce_adi,mahalle_adi,vs30_ortalama,vs30_min,vs30_max,vs30_piksel_sayisi,vs30_guven_seviyesi
Kadıköy,Bostancı Mahallesi,381.92,260.82,426.54,10,yuksek
Kadıköy,Eğitim Mahallesi,351.61,295.47,393.09,7,orta
Kadıköy,Zühtüpaşa Mahallesi,364.36,340.21,393.09,4,orta
Kadıköy,Acıbadem Mahallesi,404.97,355.4,449.46,8,orta
Kadıköy,Hasanpaşa Mahallesi,366.93,295.47,465.68,8,orta
Kadıköy,Koşuyolu Mahallesi,427.42,380.53,449.46,6,orta
Kadıköy,Caferağa Mahallesi,303.57,219.28,373.4,9,orta
Kadıköy,Osmanağa Mahallesi,342.43,305.86,373.4,6,orta
Ataşehir,Yenişehir Mahallesi,377.25,334.26,426.05,6,orta
Ataşehir,Yenisahra Mahallesi,345.66,245.91,434.9,6,orta
Ataşehir,Yeni Çamlıca Mahallesi,388.92,321.72,478.08,6,orta
Ataşehir,Örnek Mahallesi,345.05,245.91,441.48,5,orta
Ataşehir,Mustafa Kemal Mahallesi,361.08,245.91,437.56,5,orta
Ataşehir,Mimar Sinan Mahallesi,509.84,426.05,625.09,4,orta
Ataşehir,Mevlana Mahallesi,426.82,355.4,510.13,5,orta
Ataşehir,Kayışdağı Mahallesi,471.11,336.49,768.92,9,orta
Ataşehir,İnönü Mahallesi,491.73,396.22,768.92,8,orta
Ataşehir,Fetih Mahallesi,432.49,369.05,534.78,4,orta
Ataşehir,Esatpaşa Mahallesi,409.44,245.91,501.41,6,orta
Ataşehir,Barbaros Mahallesi,351.27,245.91,434.9,12,yuksek
Ataşehir,Aşık Veysel Mahallesi,396.94,245.91,461.23,5,orta
Ataşehir,Ferhatpaşa Mahallesi,447.88,343.86,625.09,14,yuksek
Ataşehir,Atatürk Mahallesi,361.64,273.88,418.8,12,yuksek
Ataşehir,İçerenköy Mahallesi,382.95,304.11,447.92,13,yuksek
Ataşehir,Küçükbakkalköy Mahallesi,362.54,273.88,418.8,11,yuksek
Sancaktepe,Abdurrahmangazi Mahallesi,302.81,204.6,462.29,14,yuksek
Sancaktepe,Merve Mahallesi,323.29,227.44,462.29,7,orta
Sancaktepe,Mevlana Mahallesi,402.79,287.75,517.31,6,orta
Sancaktepe,Safa Mahallesi,381.87,227.44,462.29,6,orta
Sancaktepe,Hilal Mahallesi,403.1,287.75,517.31,10,yuksek
Sancaktepe,Yunus Emre Mahallesi,415.21,290.99,517.31,7,orta
Sancaktepe,Yenidoğan Mahallesi,332.26,227.44,450.82,6,orta
Sancaktepe,Osmangazi Mahallesi,330.04,229.64,462.29,16,yuksek
Sancaktepe,Eyüp Sultan Mahallesi,362.48,204.6,491.25,19,yuksek
Sancaktepe,Atatürk Mahallesi,314.64,270.22,378.3,8,orta
Sancaktepe,Kemal Türkler Mahallesi,292.73,204.6,378.3,7,orta
Sancaktepe,İnönü Mahallesi,299.16,270.22,326.61,3,dusuk
Sancaktepe,Sarıgazi Mahallesi,307.27,204.6,384.55,9,orta
Sancaktepe,Kuzudere Devlet Ormanı,514.92,378.69,675.1,11,yuksek
Sancaktepe,Veysel Karani Mahallesi,432.6,343.71,565.06,7,orta
Sancaktepe,Meclis Mahallesi,301.37,249.18,354.63,7,orta
Sancaktepe,Emek Mahallesi,340.63,249.18,398.96,9,orta
Sancaktepe,Akpınar Mahallesi,401.26,316.59,521.2,8,orta
Sancaktepe,Fatih Mahallesi,388.94,316.59,434.37,12,yuksek
Sancaktepe,Paşaköy Mahallesi,435.65,226.64,635.46,65,yuksek
Sultanbeyli,Akşemsettin Mahallesi,388.13,324.44,452.56,8,orta
Sultanbeyli,Necip Fazıl Mahallesi,530.25,400.82,680.43,8,orta
Sultanbeyli,Orhangazi Mahallesi,416.41,384.48,452.56,4,orta
Sultanbeyli,Adil Mahallesi,379.06,229.64,470.33,7,orta
Sultanbeyli,Battalgazi Mahallesi,459.76,320.68,606.33,10,yuksek
Sultanbeyli,Hasanpaşa Mahallesi,481.63,406.12,565.06,4,orta
Sultanbeyli,Mimar Sinan Mahallesi,348.74,229.64,482.67,13,yuksek
Sultanbeyli,Abdurrahmangazi Mahallesi,523.68,410.3,722.35,6,orta
Sultanbeyli,Ahmet Yesevi Mahallesi,481.35,386.0,606.33,8,orta
Sultanbeyli,Şalgamlı Devlet Ormanı,651.33,440.54,782.28,15,yuksek
Sultanbeyli,Fatih Mahallesi,527.71,346.19,782.28,7,orta
Sultanbeyli,Hamidiye Mahallesi,429.34,346.19,470.02,8,orta
Sultanbeyli,Kavaklı Ormanı,511.21,346.19,606.33,10,yuksek
Sultanbeyli,Mecidiye Mahallesi,410.69,324.44,469.04,10,yuksek
Sultanbeyli,Mehmet Akif Mahallesi,514.05,346.19,782.28,9,orta
Sultanbeyli,Turgut Reis Mahallesi,458.55,346.19,584.59,8,orta
Sultanbeyli,Yavuz Selim Mahallesi,541.33,452.56,782.28,6,orta
Kartal,Orhantepe Mahallesi,358.95,243.92,456.36,12,yuksek
Kartal,Kordonboyu Mahallesi,389.7,241.14,600.0,15,yuksek
Kartal,Atalar Mahallesi,394.59,341.25,456.36,6,orta
Kartal,Cevizli Mahallesi,413.01,341.25,497.92,9,orta
Kartal,Yakacık Çarşı Mahallesi,600.63,382.47,805.61,18,yuksek
Kartal,Petrol-İş Mahallesi,416.94,340.22,486.54,7,orta
Kartal,Esentepe Mahallesi,403.35,340.22,469.59,11,yuksek
Kartal,Yukarı Mahalle,433.43,362.82,486.54,4,orta
Kartal,Karlıktepe Mahallesi,405.85,340.22,447.81,9,orta
Kartal,Çavuşoğlu Mahallesi,418.73,388.89,436.55,6,orta
Kartal,Yunus Mahallesi,395.09,326.43,469.59,9,orta
Kartal,Topselvi Mahalesi,431.44,368.67,506.36,7,orta
Kartal,Yalı Mahallesi,432.78,368.67,506.36,3,dusuk
Kartal,Cumhuriyet Mahallesi,511.25,423.31,718.8,8,orta
Kartal,Orta Mahalle,451.65,417.86,514.77,7,orta
Kartal,Soğanlık Yeni Mahalle,430.96,341.25,488.6,9,orta
Kartal,Gümüşpınar Mahallesi,481.55,417.86,604.37,8,orta
Kartal,Hürriyet Mahallesi,602.0,490.49,731.33,9,orta
Kartal,Uğur Mumcu Mahallesi,483.95,384.51,650.52,10,yuksek
Kartal,Yakacık Yeni Mahalle,592.53,513.2,749.23,6,orta
Kartal,Aydos Ormanı,561.16,382.47,805.61,22,yuksek
Çekmeköy,Cumhuriyet Mahallesi,308.37,273.99,354.08,3,dusuk
Çekmeköy,Güngören Mahallesi,373.84,273.99,437.99,4,orta
Çekmeköy,Soğukpınar Mahallesi,332.29,290.99,386.12,6,orta
Çekmeköy,Ömerli Mahallesi,439.63,226.64,556.71,109,yuksek
Çekmeköy,Koçullu Mahallesi,400.52,180.0,556.71,36,yuksek
Çekmeköy,Sırapınar Mahallesi,420.42,266.74,578.42,29,yuksek
Çekmeköy,Hüseyinli Mahallesi,402.7,277.23,578.42,41,yuksek
Çekmeköy,Alemdağ Askerî Bölge,391.29,346.84,460.31,8,orta
Çekmeköy,Nişantepe Mahallesi,409.66,229.65,519.48,16,yuksek
Çekmeköy,Reşadiye Mahallesi,444.75,294.74,606.29,50,yuksek
Çekmeköy,Alemdağ Ormanı,488.65,362.82,609.81,23,yuksek
Çekmeköy,Çatalmeşe Mahallesi,392.49,229.65,484.61,19,yuksek
Çekmeköy,Alemdağ Mahallesi,434.57,362.82,522.67,9,orta
Çekmeköy,Taşdelen Ormanı,502.21,394.31,577.6,10,yuksek
Çekmeköy,Ekşioğlu Mahallesi,391.22,308.01,460.31,8,orta
Çekmeköy,Çekmeköy Askerî Bölge,405.56,269.42,557.72,24,yuksek
Çekmeköy,Kirazlıdere Mahallesi,309.76,269.42,376.51,7,orta
Çekmeköy,Merkez Mahallesi,413.25,279.55,567.0,23,yuksek
Çekmeköy,Mimar Sinan Mahallesi,382.13,277.2,451.57,8,orta
Çekmeköy,Hamidiye Mahallesi,345.32,277.2,421.75,6,orta
Çekmeköy,Çamlık Mahallesi,330.91,269.42,393.95,4,orta
Çekmeköy,Mehmet Akif Mahallesi,340.8,277.2,421.75,6,orta
Çekmeköy,Taşdelen Mahallesi,376.26,308.01,453.8,4,orta
Çekmeköy,Aydınlar Mahallesi,288.42,270.22,326.61,6,orta
Çekmeköy,Sultançiftliği Mahallesi,400.27,273.99,500.49,7,orta
Tuzla,Tuzla Askeri Bölge,419.31,310.55,568.75,30,yuksek
Tuzla,Akfırat Mahallesi,410.29,204.59,617.09,57,yuksek
Tuzla,Anadolu Mahallesi,397.48,245.85,473.18,9,orta
Tuzla,Aydınlı Mahallesi,393.5,251.66,493.49,45,yuksek
Tuzla,Aydıntepe Mahallesi,413.39,268.48,568.75,12,yuksek
Tuzla,Cami Mahallesi,286.72,243.92,319.16,6,orta
Tuzla,Cumhuriyet Mahallesi,373.95,256.6,467.92,14,yuksek
Tuzla,Evliya Çelebi Mahallesi,253.61,180.0,417.04,16,yuksek
Tuzla,Fatih Mahallesi,316.72,244.83,417.12,10,yuksek
Tuzla,İçmeler Mahallesi,412.89,300.11,482.33,8,orta
Tuzla,İstasyon Mahallesi,364.32,229.58,483.1,17,yuksek
Tuzla,Mescit Mahallesi,341.08,262.85,433.24,14,yuksek
Tuzla,Mimar Sinan Mahallesi,359.81,281.34,399.83,6,orta
Tuzla,Orhanlı Mahallesi,364.83,245.85,465.78,28,yuksek
Tuzla,Orta Mahallesi,436.5,359.09,480.32,12,yuksek
Tuzla,Postane Mahallesi,250.49,180.0,348.0,23,yuksek
Tuzla,Şifa Mahallesi,354.67,290.4,409.46,10,yuksek
Tuzla,Tepeören Mahallesi,383.42,204.59,493.49,65,yuksek
Tuzla,Yayla Mahallesi,318.49,229.58,424.36,9,orta
Pendik,Yeşilbağlar Mahallesi,412.41,367.16,490.49,4,orta
Pendik,Güzelyalı Mahallesi,343.97,192.81,421.66,9,orta
Pendik,Esenyalı Mahallesi,432.45,398.95,470.91,4,orta
Pendik,Orhangazi Mahallesi,386.76,311.86,438.28,5,orta
Pendik,Fatih Mahallesi,399.47,382.55,438.28,4,orta
Pendik,Ahmet Yesevi Mahallesi,350.3,251.66,436.99,7,orta
Pendik,Kaynarca Mahallesi,356.55,180.0,528.97,14,yuksek
Pendik,Doğu Mahallesi,413.76,250.94,587.09,7,orta
Pendik,Batı Mahallesi,304.37,237.82,386.69,7,orta
Pendik,Sapanbağları Mahallesi,342.96,312.62,368.67,3,dusuk
Pendik,Bahçelievler Mahallesi,470.85,367.16,587.09,6,orta
Pendik,Yeni Mahalle,383.07,312.62,515.67,6,orta
Pendik,Çınardere Mahallesi,501.69,367.16,585.2,8,orta
Pendik,Orta Mahalle,566.86,515.67,587.09,4,orta
Pendik,Dumlupınar Mahallesi,518.39,462.89,587.09,8,orta
Pendik,Fevzi Çakmak Mahallesi,447.54,393.27,528.97,8,orta
Pendik,Çamçeşme Mahallesi,390.74,311.86,420.4,7,orta
Pendik,Kavakpınar Mahallesi,379.75,311.86,420.4,11,yuksek
Pendik,Esenler Mahallesi,437.53,386.01,507.11,7,orta
Pendik,Velibaba Mahallesi,520.14,425.7,734.93,11,yuksek
Pendik,Yayalar Mahallesi,479.7,425.7,520.92,8,orta
Pendik,Güllü Bağlar Mahallesi,448.38,386.01,520.92,7,orta
Pendik,Ramazanoğlu Mahallesi,378.46,309.15,456.96,12,yuksek
Pendik,Sanayi Mahallesi,365.53,241.01,464.8,38,yuksek
Pendik,Kurtköy Mahallesi,406.02,341.25,469.29,9,orta
Pendik,Şeyhli Mahallesi,438.2,352.81,487.54,6,orta
Pendik,Sülüntepe Mahallesi,472.98,442.75,503.72,7,orta
Pendik,Ertuğrul Gazi Mahallesi,560.72,425.7,734.93,7,orta
Pendik,Çamlık Mahallesi,502.18,400.82,680.43,10,yuksek
Pendik,Yenişehir Mahallesi,420.93,363.95,469.29,18,yuksek
Pendik,Harmandere Mahallesi,410.6,353.95,465.54,8,orta
Pendik,Kurna Mahallesi,406.49,204.59,584.59,74,yuksek
Pendik,Kurtdoğmuş Mahallesi,376.66,180.0,573.93,76,yuksek
Pendik,Emirli Mahallesi,406.28,260.83,552.58,39,yuksek
Pendik,Ballıca Mahallesi,393.28,204.59,617.09,60,yuksek
Pendik,Göçbeyli Mahallesi,436.81,234.88,576.93,56,yuksek
Çatalca,Çatalca Devlet Ormanı,431.54,253.76,666.45,72,yuksek
Çatalca,Hallaçlı Mahallesi,318.95,221.98,404.22,75,yuksek
Çatalca,Fatih Mahallesi,465.95,204.7,689.41,331,yuksek
Çatalca,Yalıköy Mahallesi,479.79,204.7,655.98,164,yuksek
Çatalca,Atatürk Mahallesi,356.37,246.16,508.69,82,yuksek
Çatalca,Karacaköy Merkez Mahallesi,411.75,199.42,606.38,138,yuksek
Çatalca,Aydınlar Mahallesi,373.95,229.75,559.6,83,yuksek
Çatalca,Yaylacık Mahallesi,331.07,249.39,379.08,15,yuksek
Çatalca,Karamandere Mahallesi,472.9,235.02,649.65,68,yuksek
Çatalca,Ormanlı Mahallesi,370.66,227.59,600.0,74,yuksek
Çatalca,Çiftlikköy Merkez Mahallesi,390.96,227.59,666.45,61,yuksek
Çatalca,Belgrat Mahallesi,457.19,226.88,666.45,64,yuksek
Çatalca,Hisarbeyli Mahallesi,393.69,229.76,522.5,27,yuksek
Çatalca,Gümüşpınar Mahallesi,400.08,232.77,603.0,56,yuksek
Çatalca,Başak Mahallesi,366.23,229.76,507.95,35,yuksek
Çatalca,Celepköy Mahallesi,362.82,180.0,502.75,65,yuksek
Çatalca,Örencik Mahallesi,403.33,251.3,522.5,57,yuksek
Çatalca,Kalfa Mahallesi,467.16,259.51,686.11,59,yuksek
Çatalca,Yazlık Mahallesi,400.71,180.0,546.48,52,yuksek
Çatalca,Dağyenice Mahallesi,434.07,283.71,607.17,48,yuksek
Çatalca,İhsaniye Mahallesi,396.62,253.76,504.68,74,yuksek
Çatalca,Çanakça Mahallesi,430.2,290.74,607.17,40,yuksek
Çatalca,Kızılcaali Mahallesi,456.56,295.5,569.3,33,yuksek
Çatalca,Örcünlü Mahallesi,398.62,217.88,521.6,32,yuksek
Çatalca,Kestanelik Mahallesi,437.95,217.88,563.36,34,yuksek
Çatalca,Oklalı Mahallesi,419.42,284.99,553.46,23,yuksek
Çatalca,Subaşı Mahallesi,429.81,284.99,608.13,50,yuksek
Çatalca,Akalan Mahallesi,422.78,238.49,590.7,43,yuksek
Çatalca,Kabakça Mahallesi,391.34,256.93,516.78,50,yuksek
Çatalca,Gökçeali Mahallesi,395.35,301.9,489.22,23,yuksek
Çatalca,İnceğiz Mahallesi,418.19,238.49,573.51,57,yuksek
Çatalca,Elbasan Mahallesi,418.26,239.6,570.42,47,yuksek
Çatalca,Ovayenice Mahallesi,409.37,294.59,530.21,50,yuksek
Çatalca,Çakıl Mahallesi,449.65,310.0,729.18,50,yuksek
Çatalca,İzzettin Mahallesi,345.9,226.68,522.19,53,yuksek
Çatalca,Kaleiçi Mahallesi,467.37,268.74,789.28,56,yuksek
Çatalca,Ferhatpaşa Mahallesi,396.83,217.85,765.98,61,yuksek
Çatalca,Nakkaş Mahallesi,415.06,227.5,583.22,96,yuksek
Çatalca,Bahşayış Mahallesi,374.89,257.3,470.01,26,yuksek
Çatalca,Muratbey Merkez Mahallesi,435.71,213.62,729.18,46,yuksek
Silivri,Sancaktepe Mahallesi,398.39,232.8,625.23,46,yuksek
Silivri,Kurfallı Mahallesi,414.96,236.15,513.81,79,yuksek
Silivri,Silivri Orman Alanı,361.8,236.15,483.44,103,yuksek
Silivri,Büyükkılıçlı Mahallesi,414.27,256.02,557.11,56,yuksek
Silivri,Seymen Mahallesi,391.81,246.04,531.31,105,yuksek
Silivri,Beyciler Mahallesi,362.46,251.67,461.35,63,yuksek
Silivri,Büyüksinekli Mahallesi,402.09,263.13,512.63,43,yuksek
Silivri,Küçüksinekli Mahallesi,363.71,263.13,456.2,20,yuksek
Silivri,Büyükçavuşlu Mahallesi,379.54,256.01,500.95,109,yuksek
Silivri,Çayırdere Mahallesi,341.54,221.98,443.61,124,yuksek
Silivri,Balaban Mahallesi,416.3,232.73,625.23,99,yuksek
Silivri,İsmetpaşa Mahallesi,411.48,213.63,539.73,93,yuksek
Silivri,Yolçatı Mahallesi,408.05,288.8,531.31,29,yuksek
Silivri,Çeltik Mahallesi,413.78,237.82,566.61,78,yuksek
Silivri,Fevzipaşa Mahallesi,352.43,221.58,488.94,38,yuksek
Silivri,Sayalar Mahallesi,327.62,228.19,418.18,92,yuksek
Silivri,Danamandıra Mahallesi,341.73,228.19,463.89,85,yuksek
Silivri,Semizkumlar Mahallesi,387.97,240.58,477.65,37,yuksek
Silivri,Bekirli Mahallesi,399.14,311.67,462.96,43,yuksek
Silivri,Akören Mahallesi,407.57,243.46,530.22,97,yuksek
Silivri,Küçükkılıçlı Mahallesi,386.32,304.35,480.38,28,yuksek
Silivri,Fener Mahallesi,425.24,284.35,531.97,86,yuksek
Silivri,Mimar Sinan Mahallesi,384.7,241.72,479.85,27,yuksek
Silivri,Piri Mehmet Paşa Mahallesi,322.72,241.72,438.33,5,orta
Silivri,Alibey Mahallesi,405.92,303.23,477.58,5,orta
Silivri,Fatih Mahallesi,439.23,401.78,477.58,3,dusuk
Silivri,Yeni Mahalle,384.17,241.72,510.7,62,yuksek
Silivri,Alipaşa Mahallesi,390.8,245.39,509.08,80,yuksek
Silivri,Kadıköy Mahallesi,403.33,239.6,538.5,54,yuksek
Silivri,Gazitepe Mahallesi,392.95,252.99,538.31,47,yuksek
Silivri,Cumhuriyet Mahallesi,460.24,401.78,510.7,15,yuksek
Silivri,Kavaklı Mahallesi,374.64,285.15,467.12,28,yuksek
Silivri,Hürriyet Mahallesi,410.81,320.95,469.52,22,yuksek
Silivri,Ortaköy Mahallesi,448.92,296.88,536.57,40,yuksek
Silivri,Selimpaşa Mahallesi,396.91,209.11,542.42,45,yuksek
Büyükçekmece,Cumhuriyet Mahallesi,504.73,378.41,591.78,13,yuksek
Büyükçekmece,Atatürk Mahallesi,519.44,417.63,591.62,7,orta
Büyükçekmece,Fatih Mahallesi,415.89,209.11,600.0,14,yuksek
Büyükçekmece,Pınartepe Mahallesi,518.14,378.41,591.62,14,yuksek
Büyükçekmece,Dizdariye Mahallesi,288.72,209.11,426.19,6,orta
Büyükçekmece,19 Mayıs Mahallesi,446.16,252.26,582.63,25,yuksek
Büyükçekmece,Çakmaklı Mahallesi,469.62,273.58,582.63,17,yuksek
Büyükçekmece,Alkent 2000 Mahallesi,439.2,273.61,574.68,24,yuksek
Büyükçekmece,Karaağaç Mahallesi,413.56,259.02,541.25,63,yuksek
Büyükçekmece,Hürriyet Mahallesi,421.66,213.62,523.32,24,yuksek
Büyükçekmece,Ulus Mahallesi,355.5,226.65,517.26,20,yuksek
Büyükçekmece,Ekinoba Mahallesi,436.94,400.52,497.98,6,orta
Büyükçekmece,Mimaroba Mahallesi,448.54,400.52,497.98,8,orta
Büyükçekmece,Sinanoba Mahallesi,391.79,246.0,474.05,7,orta
Büyükçekmece,Murat Çeşme Mahallesi,452.03,415.8,523.32,9,orta
Büyükçekmece,Mimar Sinan Merkez Mahallesi,359.88,209.11,517.26,10,yuksek
Büyükçekmece,Güzelce Mahallesi,447.34,221.9,600.0,17,yuksek
Büyükçekmece,Türkoba Mahallesi,427.96,221.9,532.22,31,yuksek
Büyükçekmece,Bahçelievler Mahallesi,456.09,221.9,617.85,22,yuksek
Büyükçekmece,Yenimahalle Mahallesi,501.27,237.82,617.85,9,orta
Büyükçekmece,Kumburgaz Mahallesi,444.12,237.82,571.36,15,yuksek
Büyükçekmece,Kamiloba Mahallesi,451.84,290.99,599.03,39,yuksek
Büyükçekmece,Celaliye Mahallesi,445.14,246.04,599.03,32,yuksek
Büyükçekmece,Ahmediye Mahallesi,357.35,213.62,497.62,14,yuksek
Şile,Osmanköy Mahallesi,425.22,229.67,693.81,30,yuksek
Şile,Sortullu Mahallesi,486.64,338.05,606.63,20,yuksek
Şile,Ağaçdere Mahallesi,404.9,266.46,602.9,20,yuksek
Şile,Ahmetli Mahallesi,416.41,233.73,518.82,21,yuksek
Şile,Akçakese Mahallesi,460.29,354.73,596.67,23,yuksek
Şile,Alacalı Mahallesi,387.67,278.22,490.52,44,yuksek
Şile,Avcıkoru Mahallesi,358.22,247.43,465.13,51,yuksek
Şile,Balibey Mahallesi,409.83,298.83,485.54,20,yuksek
Şile,Bozgoca Mahallesi,461.25,343.87,545.43,14,yuksek
Şile,Bucaklı Mahallesi,425.13,209.11,572.74,34,yuksek
Şile,Bıçkıdere Mahallesi,374.4,243.92,475.67,30,yuksek
Şile,Çataklı Mahallesi,533.35,283.39,840.03,46,yuksek
Şile,Çavuş Mahallesi,369.43,192.81,482.04,18,yuksek
Şile,Çayırbaşı Mahallesi,446.92,398.43,506.17,12,yuksek
Şile,Çelebi Mahallesi,404.52,320.18,533.6,5,orta
Şile,Çengilli Mahallesi,409.43,283.33,523.78,36,yuksek
Şile,Darlık Mahallesi,455.87,234.42,588.48,48,yuksek
Şile,Değirmen Çayırı Mahallesi,467.9,298.32,670.93,31,yuksek
Şile,Doğancılı Mahallesi,367.18,273.62,490.52,40,yuksek
Şile,Erenler Mahallesi,431.62,243.41,587.78,45,yuksek
Şile,Esenceli Mahallesi,399.4,180.0,569.68,46,yuksek
Şile,Geredeli Mahallesi,449.66,294.02,761.59,37,yuksek
Şile,Göçe Mahallesi,386.15,233.73,554.59,20,yuksek
Şile,Gökmaşlı Mahallesi,458.63,280.81,595.23,17,yuksek
Şile,Göksu Mahallesi,445.87,270.16,602.43,53,yuksek
Şile,Hacı Kasım Mahallesi,345.75,180.0,442.42,3,dusuk
Şile,Hacıllı Mahallesi,496.98,339.83,660.94,36,yuksek
Şile,Hasanlı Mahallesi,428.74,259.67,523.78,31,yuksek
Şile,İmrendere Mahallesi,439.36,295.11,544.86,27,yuksek
Şile,İmrenli Mahallesi,448.96,333.22,600.0,23,yuksek
Şile,İsaköy Mahallesi,451.92,283.7,595.23,15,yuksek
Şile,Kabakoz Mahallesi,459.19,249.25,600.0,48,yuksek
Şile,Kadıköy Mahallesi,489.41,417.31,533.6,3,dusuk
Şile,Kalem Mahallesi,525.52,249.22,761.59,51,yuksek
Şile,Karabeyli Mahallesi,414.38,229.67,596.67,29,yuksek
Şile,Karacaköy Mahallesi,458.94,302.33,559.99,24,yuksek
Şile,Karakiraz Mahallesi,397.59,265.33,521.14,48,yuksek
Şile,Karamandere Mahallesi,444.85,256.91,563.82,33,yuksek
Şile,Kervansaray Mahallesi,410.18,234.88,580.92,90,yuksek
Şile,Kömürlük Mahallesi,398.88,236.2,552.8,30,yuksek
Şile,Korucu Mahallesi,468.54,329.19,587.78,17,yuksek
Şile,Kumbaba Mahallesi,335.37,192.81,448.5,7,orta
Şile,Kurfallı Mahallesi,407.09,261.81,546.87,16,yuksek
Şile,Kurna Mahallesi,388.4,263.0,492.97,34,yuksek
Şile,Kızılcaköy Mahallesi,431.41,304.6,548.0,53,yuksek
Şile,Meşrutiyet Mahallesi,401.63,254.3,475.96,13,yuksek
Şile,Oruçoğlu Mahallesi,392.06,234.42,518.74,53,yuksek
Şile,Ovacık Mahallesi,446.42,262.96,588.96,25,yuksek
Şile,Sahilköy Mahallesi,374.31,219.28,489.19,49,yuksek
Şile,Satmazlı Mahallesi,429.87,243.41,587.78,26,yuksek
Şile,Sofular Mahallesi,408.27,262.24,496.74,42,yuksek
Şile,Soğullu Mahallesi,513.66,249.22,840.03,44,yuksek
Şile,Şuayipli Mahallesi,455.0,302.33,533.73,29,yuksek
Şile,Teke Mahallesi,453.24,180.0,605.02,83,yuksek
Şile,Ulupelit Mahallesi,409.24,273.53,517.26,40,yuksek
Şile,Üvezli Mahallesi,372.89,284.25,495.99,39,yuksek
Şile,Yaka Mahallesi,475.97,298.32,670.93,44,yuksek
Şile,Yaylalı Mahallesi,384.91,180.0,525.23,26,yuksek
Şile,Yazımanayır Mahallesi,382.7,180.0,485.51,32,yuksek
Şile,Yeniköy Mahallesi,431.59,229.67,588.96,56,yuksek
Şile,Yeşilvadi Mahallesi,408.66,262.24,538.64,41,yuksek
Şile,Ağva Merkez Mahallesi,355.41,233.73,472.89,9,orta
